序號,統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期
58,53671055,暉宏營造有限公司,金門縣金湖鎮新湖里市港路33號,劉福源,5000000,1020517
59,53671127,香港商全球智慧國際有限公司,臺北市中山區民權東路1段45號7樓,周籽伶,998730,1020517
60,53671148,大陸商上海媚麗頌化妝品有限公司,臺北市北投區同德街44巷4號4樓,倪家樹,0,1020520
61,53671153,香港商天朗工業設計有限公司,臺中市南屯區河南路4段688號6樓之22,辛佩俐,0,1020517
62,53671169,日商先伶廣告股份有限公司,臺北市大同區市民大道1段209號11樓,桑治彥,1000000,1020520
63,53671175,日商吉坤日礦日石能源股份有限公司,臺北市松山區敦化北路167號6樓,山本民夫,0,1020520
64,53671180,薩摩亞商廣泰鍾股份有限公司,屏東縣潮州鎮太平路72號3樓,陳瑞隆,0,1020520
65,53671196,薩摩亞商艾斯科技娛樂股份有限公司,臺北市大安區光復南路102號6樓,古為淵,5000000,1020520
66,53671203,日商千代田專案股份有限公司,臺北市士林區中山北路6段89號10樓,岡村郁雄,5000000,1020521
67,53671225,英屬維京群島商新捷利貿易有限公司,臺中市西屯區台中港路三段123號15樓之2,陳錦郎,1000000,1020521
68,53671230,美商美立維股份有限公司,臺北市大同區承德路1段70之1號13樓,馬克 布魯斯南,1000000,1020521
69,53671246,英屬維京群島商敬業管理有限公司,高雄市鳳山區文雅街21號,韓宗霖,0,1020522
70,53671301,日商出光興產股份有限公司,臺北市大安區仁愛路4段85號14樓,中道昌宏,0,1020522
71,53671359,貝里斯商麗緻國際管理顧問有限公司,臺北市中正區黎明里重慶南路1段83號6樓,鄭丁靚,2000000,1020522
72,53671365,薩摩亞商遠匯股份有限公司,臺北市大安區華聲里忠孝東路4段293號8樓之4,張澤乘,5000000,1020522
73,53671371,英屬維京群島商恩禮資產管理股份有限公司,臺北市大安區金山南路2段222號7樓,方冰瑩,500000,1020522
74,53671386,大陸商廈門捷順物流有限公司,金門縣金城鎮珠沙里小西門8號,陳威勇,0,1020522
75,53671415,大陸商上海江安進出口有限公司,臺南市安南區海佃路4段388巷2弄75號,羅晟,0,1020523
76,53671421,大陸商石家莊寶石克拉大徑塑管有限公司,臺北市大安區忠孝東路3段192號2樓之1,趙嫻,0,1020523
77,53671436,美商卡文迪西有限公司,臺中市南屯區五權西路2段666號10樓之3,MURRAY  PATRICK  JOSEPH,0,1020523
